2018-06-30 23:41:23,828 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:41:23,837 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 2.221 seconds
2018-06-30 23:41:23,837 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.014 seconds
2018-06-30 23:41:54,880 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:41:54,880 | INFO | CamelTestSupport.java 390 | Testing done: FileCopyTest(com.learn.camel.file.FileCopyRouterTest)
2018-06-30 23:41:54,881 | INFO | CamelTestSupport.java 391 | Took: 6 minutes (388908 millis)
2018-06-30 23:41:54,881 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:41:54,881 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-2) is shutting down
2018-06-30 23:41:54,881 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:41:54,882 | INFO | DefaultShutdownStrategy.java 671 | Route: route2 shutdown complete, was consuming from: file://data/input?noop=true
2018-06-30 23:41:54,883 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:41:54,884 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-2) uptime 6 minutes
2018-06-30 23:41:54,884 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-2) is shutdown in 0.003 seconds
2018-06-30 23:41:54,885 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:41:54,885 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:41:54,885 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:41:54,889 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-3) is starting
2018-06-30 23:41:54,890 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:41:54,894 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:41:54,909 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:41:54,910 | INFO | DefaultCamelContext.java 4026 | Route: route3 started and consuming from: direct://sampleInput
2018-06-30 23:41:54,911 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:41:54,911 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-3) started in 0.022 seconds
2018-06-30 23:42:30,191 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:42:30,194 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:42:30,194 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:42:30,500 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:42:30,501 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:42:30,548 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:42:30,646 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
